Set,Sentence1,Sentence2,Label,id,predicted,error_type
train,"In July , the UN condemned Northern Ireland ’s near-total ban .",abortion,PRO,1966,PRO,correct
train,"With continued research , it may be possible to create identically similar animals , or even humans !",cloning,PRO,5068,CON,flipped
train,Increased labor costs result in lower profits for businesses .,minimum wage,CON,17228,PRO,flipped
test,"The only solution is to halt the expansion of all nuclear power , and for the shutdown of existing plants .",nuclear energy,CON,21712,NEU,neutralized
train,Water discharged from a nuclear power plant contains no harmful pollutants and meets regulatory standards for temperature designed to protect aquatic life .,nuclear energy,PRO,19135,NEU,neutralized
train,Some parents are not sure whether to vaccinate their children ; it seems like a difficult decision .,school uniforms,NEU,23462,NEU,correct
train,Turkey abolished mandatory uniforms in 2010 .,school uniforms,CON,23348,PRO,flipped
train,That is the lazy way out .,abortion,NEU,2804,PRO,polarized
dev,"Between May 2007 and Mar. 11 , 2014 , 14 law enforcement officers and 622 other people were killed nationally ( not in self defense ) by private individuals legally allowed to carry concealed handguns .",gun control,PRO,12487,PRO,correct
test,"Heck , you can buy the Solomon Islands for $ 1 billion .",school uniforms,NEU,24773,NEU,correct
test,"Even within one school , uniforms can not conceal the differences between the "" haves "" and the "" have-nots . """,school uniforms,CON,23674,CON,correct
train,The technique is extremely risky right now .,cloning,CON,4300,CON,correct
train,"If the referendum passes , recreational marijuana will become legal on Dec. 15 .",marijuana legalization,NEU,14131,NEU,correct
train,"The position of The National Catholic Bioethics Center appears to be that there would be no justification in inducing labor in a case of pulmonary hypertension because while the pregnancy ( and the placenta ) is making increased demands on the patient 's weakened heart , the placenta itself is performing its natural function , is not a diseased organ , and therefore may not be targeted for removal .",abortion,CON,550,NEU,neutralized
train,"Moreover , according to RAND , legalization will cause marijuana prices to fall as much as 80 percent .",marijuana legalization,PRO,16194,PRO,correct
train,"The constitutional right of privacy has been interpreted repeatedly to include matters of marriage , family and sex , specifically “ the right to be free from unwarranted governmental intrusion into matters so fundamentally affecting a person as the decision whether to bear or beget a child . ”",abortion,PRO,1768,PRO,correct
train,"They do n't say who their source is for that tidbit of info , and I did n't see it in any of the local news reports or press releases .",abortion,NEU,2065,CON,polarized
train,Guns are our rights !,gun control,CON,12159,PRO,flipped
dev,"A 1982 study showed that were the death penalty to be reintroduced in New York , the cost of the capital trial alone would be more than double the cost of a life term in prison .",death penalty,CON,7747,NEU,neutralized
test,Increasing the minimum wage would increase worker productivity and reduce employee turnover .,minimum wage,PRO,18449,NEU,neutralized
train,Improved building insulation and super efficient light bulbs and clothes dryers are more cost effective ways of cutting down on energy use and setting back global warming .,nuclear energy,CON,19062,NEU,neutralized
train,Gun control does not address the issue of gun-related crimes .,gun control,CON,12218,NEU,neutralized
dev,Firms are losing interest in financing the training of their employees .,minimum wage,NEU,18016,CON,polarized
test,Experience to date gives a good idea of costs and earlier estimates are being revised downwards .,nuclear energy,PRO,19578,NEU,neutralized
train,"Advocates are fond of noting that nuclear power now provides 70 percent of the country 's "" carbon-free "" energy .",nuclear energy,PRO,19714,NEU,neutralized
train,"Through rigorous research and analysis of data , he has been able to show in previous books that increased gun possession can actually make people safer and reduce crime .",gun control,CON,11019,CON,correct
dev,"But as every chapter released from The Winds of Winter shows , including this latest check-in with Arianne , there ’s nothing to fear .",gun control,NEU,13859,PRO,polarized
dev,"For abortion foes , the positive indicators are that Kennedy wrote the last major decision on abortion : the 2007 decision in Gonzales v. Carhart , upholding a federal ban on terminating the life of a fetus after it had partially emerged from a woman ’s body .",abortion,NEU,1817,PRO,polarized
train,"Without them , policy makers would have to rely on tests scored by individual schools and teachers who have a vested interest in producing favorable results .",school uniforms,NEU,24391,CON,polarized
train,I probably would have little in common with them otherwise ( I am assuming they are far to the left ) but I support their documentary at every opportunity .,nuclear energy,NEU,20719,CON,polarized
train,"Pollara said , “ I do n’t think most people will see any change .",marijuana legalization,NEU,15845,CON,polarized
train,[ ... ] The short-term effects are also harmful .,marijuana legalization,CON,15373,CON,correct
train,"Almost all pro-choice people make bodily rights arguments , but most of these people , well-meaning or not , are flagrantly inconsistent .",abortion,CON,955,CON,correct
train,The fact that there had been no consensus on the issue after four years of discussion showed just how precarious the text was as adopted .,cloning,NEU,4144,CON,polarized
train,"If you want to define person as a member of the human species , from conception to death , you are going to have to enumerate all the rights unborn persons do and do n't have .",abortion,CON,581,CON,correct
train,"It can be morally licit to evacuate the uterus in some situations when its contents become diseased , such as what happens when a uterus becomes infected due to rupture .",abortion,PRO,2777,PRO,correct
train,We 're not fighting to prevent people from receiving the medical help they desperately need .,marijuana legalization,NEU,15513,NEU,correct
dev,"But Blackmun ’s separate opinion in Casey also appealed directly to the Equal Protection Clause : “ By restricting the right to terminate pregnancies , ” Justice Blackmun wrote , “ the State conscripts women ’s bodies into its service , forcing women to continue their pregnancies , suffer the pains of childbirth , and in most instances , provide years of maternal care . ”",abortion,PRO,2197,NEU,neutralized
train,For maybe 10 years I thought that we could we could find a way for Taylor to resume his life .,death penalty,NEU,8699,CON,polarized
train,"Justice John Paul Stevens , appointed by a Republican President , in a dissent joined by three other justices , rightly found this view astounding and radical , writing that the Constitution speaks only to gun ownership within the context of a militia .",gun control,NEU,10681,NEU,correct
train,"Though it is already illegal for felons to own weapons , I feel it is slightly overzealous ( so people sometimes end up losing their right to keep & bear arms for a “ white collar ” crime such as , say , a fake insurance card vs a “ blue collar ” crime such as unjustified homicide ) .",gun control,CON,10740,PRO,flipped
train,"What ’s more , the special insight of recent criminology is to show that low walls work nearly as well as high ones , and are obviously much easier to build .",gun control,NEU,12741,NEU,correct
train,Others contend that proving causality between crime rates and the number of concealed-carry permits is impossible .,gun control,CON,13262,CON,correct
train,"Like a doctor excise any body part to save life of a patient likewise , a criminal is cut out permanently from the society for the well being of the society .",death penalty,PRO,7971,NEU,neutralized
test,"Platts has reported that "" the crisis at Japan 's Fukushima nuclear plants has prompted leading energy-consuming countries to review the safety of their existing reactors and cast doubt on the speed and scale of planned expansions around the world "" .",nuclear energy,NEU,19545,CON,polarized
train,The gravity of harm does not change its character .,nuclear energy,NEU,20393,PRO,polarized
train,This is probably a controversial point but it has to be said .,abortion,NEU,159,PRO,polarized
dev,Gun control is needed .,gun control,PRO,12429,NEU,neutralized
train,"It 's a vegetable , it 's a gift from mother nature to heal and help us , yes it is abused but so is alcohol and prescription drugs !",marijuana legalization,PRO,15238,CON,flipped
test,We are not saying that a clone would be a carbon copy with no individuality .,cloning,PRO,4660,PRO,correct
train,"On the other hand , some supporters think changing the perception of marijuana from a party drug to a medication might make it less attractive to teens wanting to defy or rebel .",marijuana legalization,PRO,16345,PRO,correct
train,"In a recent working paper , the University of Michigan ’s A. Yesim Orhun and Mike Palazzolo , point to how two of American shoppers ’ ( and marketers ’ ) favorite money-saving strategies , the limited-time offer and buying in bulk , come with savings that are more accessible to some consumers than others .",gun control,NEU,11074,NEU,correct
test,And of course you have Colorado .,marijuana legalization,NEU,14326,CON,polarized
test,"For decades , the United States has attempted to clamp down on a plant with limited capacity to do harm and tremendous ability to do good , and the results have been disastrous .",marijuana legalization,PRO,14579,NEU,neutralized
train,A later report by the Parliamentary Standing Committee on Health also recommends a ban on human cloning .,cloning,CON,4408,NEU,neutralized
train,"Wearing school uniform is also important for you to save time changing clothes or outfits because you are trying to figure out the right combination of shirt , pants , blouse or skirt .",school uniforms,PRO,23760,PRO,correct
test,It is considered as the logical next step in reproductive technology .,cloning,PRO,4902,CON,flipped
dev,"Dolly , the world ’s most famous and controversial sheep , was born twenty years ago – on July 5 , 1996 to be precise .",cloning,NEU,6501,NEU,correct
test,"1,436 people were executed in the United States from 1977 through May 2016 , primarily by means of lethal injection .",death penalty,NEU,9351,CON,polarized
train,Some people might use clones for crime or other unlawful interests .,cloning,CON,5648,CON,correct
train,"Naturally , a woman or couple who face the situation of an unplanned pregnancy may not have the right circumstances to raise a child properly .",abortion,PRO,2699,NEU,neutralized
train,In addition many of the characteristics of modern science can be grouped under the heading of ' masculine rationality ' .,nuclear energy,NEU,21703,NEU,correct
train,"Rosalie Liccardo Pacula , Legalizing Marijuana : Issues to Consider Before Reforming California State Law , Testimony Before the California State Assembly Public Safety Committee ( Oct. 28 , 2009 ) , available at http://www.rand.org/pubs/testimonies/2009/RAND_CT334.pdf .",marijuana legalization,NEU,15165,CON,polarized
train,"( 8 ) For a few years , the legalization of human cloning is in the center of global debate , which was also attended not only scientists but also politicians , philosophers , theologians , psychologists .",cloning,NEU,4451,CON,polarized
train,hundreds of endanged animals will no longer be endanged .,cloning,PRO,4461,NEU,neutralized
train,"John 1:12 tells us how this personal relationship with Jesus Christ is established : "" But as many as received him , to them gave he power to become the sons of God , even to them that believe on his name : "" Friend , you must RECEIVE Jesus Christ !",death penalty,NEU,7867,NEU,correct
train,"today , calls for action were joined by a new voice , former congresswoman gabrielle giffords who was shot in the head in the arizona spree , launching an effort to curb gun violence .",gun control,PRO,11235,CON,flipped
train,"It would mean significantly changing what would happen to people who were arrested for possession of the drug ( s ) in question ( to my thinking , a sentence that would fit the crime as opposed to arbitrarily sending first-time offenders to prison for an egregious amount of time instead of getting them the help they truly need ) , and perhaps helping more people instead of damaging them for life .",marijuana legalization,PRO,14064,PRO,correct
train,"Helps Deter Crime The biggest goal is to help lower the rate of crimes that take place , which gun control laws will not do at all .",gun control,CON,12021,CON,correct
test,"Legalizing marijuana will end that violence , much like ending alcohol prohibition ended the violence of the illegal alcohol economy .",marijuana legalization,PRO,15963,CON,flipped
train,"Or if he smite him with an hand weapon of wood , wherewith he may die , and he die , he is a murderer : the murderer shall surely be put to death .",death penalty,PRO,9988,NEU,neutralized
train,Is personhood decided by majority vote ?,abortion,NEU,707,CON,polarized
train,The only reason Ronald Reagan did n't die was because he got to the hospital in time .,gun control,PRO,13459,PRO,correct
train,Leaves extra budget for stylish weekend clothing .,school uniforms,PRO,24029,CON,flipped
dev,"The conclusion of experts is that the current level of technology , human cloning is very dangerous .",cloning,CON,6445,NEU,neutralized
train,"19 Because of the invalidations rest on a wide variety of grounds , not single doctrinal shift , or even a small number of shifts , is likely to result in a lower reversal rate .",death penalty,NEU,7750,CON,polarized
train,"When they are all dressed alike , their all-for-one-and-one-for-all comradery is boosted .",school uniforms,PRO,23807,CON,flipped
train,"His country supported the Declaration because there was no alternative to it , for the time being .",cloning,NEU,5261,NEU,correct
train,"Once that happens , it will be virtually impossible to control how the embryos are used .",cloning,CON,4730,NEU,neutralized
test,It simply is not taught .,minimum wage,NEU,18681,NEU,correct
train,You can not defend a study ethically unless the presumed cost is lower than expected benefits .,cloning,NEU,5209,CON,polarized
dev,"In countless cases , prosecutors have withheld exculpatory evidence .",death penalty,CON,8277,PRO,flipped
train,He uses the best evidence available — data from natural experiments on the effects of gun regulations — to compare the effects of alternative policies .,gun control,NEU,12788,CON,polarized
test,"As guns are harder to obtain legally and illegal guns become harder to come by ( when more guns are confiscated by the police or are used in murders and disposed of then are put onto the street ) , it will become harder for criminals to find access to clean guns .",gun control,PRO,11613,PRO,correct
train,There are many other examples like this as the ideas of Feminists for Life members and supporters go viral .,abortion,NEU,727,PRO,polarized
dev,"At $ 7.25 per hour a minimum wage workers earns $ 15,080 per year , which is already greater than the federally determined poverty level .",minimum wage,CON,17185,PRO,flipped
train,"The 1968 minimum wage , to take a high-water mark , was , in real 2014 dollars , $ 10.95 an hour .",minimum wage,PRO,18144,NEU,neutralized
train,Davis was convicted mostly because of eyewitness testimony .,death penalty,CON,8519,CON,correct
train,"Many gun owner 's , like me , want reasonable controls AND the right to own a gun .",gun control,PRO,12292,CON,flipped
train,"It can be argued , of course , that if executions become as widespread and frequent as proponents of the death penalty hope , the publicity for each murderer will decline .",death penalty,PRO,10400,PRO,correct
train,"In 2000 , there were six times as many emergency room mentions of marijuana use as there were in 1990 , despite the fact that the number of people using marijuana is roughly the same .",marijuana legalization,CON,14667,CON,correct
test,"According to another parents ' rights group , Asserting Parental Rights — It 's Our Duty , mandatory uniform "" policies trample parents ' right to raise children without government interference . """,school uniforms,CON,23856,NEU,neutralized
test,"Therefore , comparison with other power generation methods is strongly dependent on assumptions about construction timescales and capital financing for nuclear plants .",nuclear energy,NEU,21503,CON,polarized
train,"In coming up with what they think is the ultimate trump card , opponents of a minimum wage have made the dumbest possible argument against it .",minimum wage,CON,17884,NEU,neutralized
train,Workers at his school deemed the shirt to be forest green when the policy demanded hunter green .,school uniforms,NEU,23283,CON,polarized
dev,This is being developed with the prospect of being used to break-down radioactive nuclear waste .,nuclear energy,NEU,19377,CON,polarized
test,"Fukushima was an old plant , and the latest generation of nuclear reactor designs are much less likely to meltdown .",nuclear energy,PRO,19555,CON,flipped
train,"The Colorado Department of Public Health and Environment stated that unintended pregnancies are associated with birth defects , low birth weight , maternal depression , increased risk of child abuse , lower educational attainment , delayed entry into prenatal care , a high risk of physical violence during pregnancy , and reduced rates of breastfeeding .",death penalty,NEU,8463,NEU,correct
train,"From my point of view Judge Maxwell was a coward , unable to undo the rulings of previous judges because of political and career considerations .",death penalty,NEU,7982,PRO,polarized
train,"Are all abortionists simply "" in it for the money "" ?",abortion,CON,241,CON,correct
test,"In order to drive a car , you must be registered , get training , have a license , get insurance , and submit to periodic inspections .",gun control,NEU,13952,CON,polarized
train,Reactors and Bombs : Reactors and the nuclear fuel chain facilities they are connected to set the stage for atomic weapons production .,nuclear energy,CON,20074,PRO,flipped
train,You can not obtain legal status or become a citizen of the United States by illegally entering our country .,school uniforms,NEU,24790,CON,polarized
train,"It also encourages people to join the work force , rather than seek other illegal means of earning money such as selling drugs or prostitution .",minimum wage,PRO,18163,NEU,neutralized
train,"Clones could be created who would be the “ identical twins ” of their long-deceased ancestors , with their “ genetic parents ” a distant memory on a bare and branchless family tree .",cloning,CON,4563,CON,correct
train,The master-slave relationship that is so obviously present at school is deliberately magnified by uniforms that emphasize this difference .,school uniforms,CON,22801,NEU,neutralized
test,"The emotional impulse for revenge is not a sufficient justification for invoking a system of capital punishment , with all its accompanying problems and risks .",death penalty,CON,7396,CON,correct
train,Nuclear power carries with it the risk of nuclear terrorism .,nuclear energy,CON,22228,NEU,neutralized
train,Decommissioning at nuclear sites which have experienced a serious accident are the most expensive and time-consuming .,nuclear energy,CON,19924,CON,correct
train,"That may be so , but each may still be a media celebrity on a statewide basis .",death penalty,NEU,9410,NEU,correct
train,You can cite examples of armed citizens protecting themselves and their communities with guns .,gun control,CON,12969,PRO,flipped
train,"These type of methods often lead to sterility or other harm , even death .",abortion,CON,2379,CON,correct
train,"The US Constitution ’s Second Amendment reads : “ A well regulated Militia , being necessary to the security of a free State , the right of the people to keep and bear Arms , shall not be infringed . ”",gun control,CON,13463,CON,correct
test,"The existence of a cloned person , therefore , could be mutually beneficial , rather than asymmetrical ) .",cloning,PRO,4772,CON,flipped
dev,"Many patients were able to find employment , some even started a family after years of homelessness and delinquency .",marijuana legalization,PRO,14148,NEU,neutralized
train,"“ I do n’t think people understand what executions do to the families of the person being executed , ” says Billie Jean Mayberry , one of the family members featured in the report .",death penalty,CON,9337,CON,correct
train,"I boldfaced the phrase "" according to the analysis of action employed in this book "" because it is no doubt an area of disagreement between those who agree with Bishop Olmsted and those who do not .",abortion,NEU,1967,NEU,correct
train,Innocent people are too often sentenced to death .,death penalty,CON,10592,CON,correct
train,"There are now many hundreds of reactor years of experience , and Chernobyl was the only accident that injured the public .",nuclear energy,PRO,19232,PRO,correct
dev,"They could entirely replace the world 's fossil fuel-based energy system by 2050 , if governments will it to be so , he said .",nuclear energy,PRO,20683,PRO,correct
train,"Look , I have an A plus rating in the NRA and we also have a reduction in gun violence because in Florida , if you commit a crime with a gun , you 're going away .",gun control,CON,11459,CON,correct
dev,I love designer clothes but not the fact that they are pretty damn expensive .,school uniforms,NEU,24056,CON,polarized
train,Nuclear power was attractive to governments and state bureaucracies for several reasons .,nuclear energy,PRO,20254,PRO,correct
test,Catholic support for living wages has been taught since 1891 .,minimum wage,PRO,16548,NEU,neutralized
dev,"The problem which has been the focus of much attention by French researchers , is that ORNL ’s single fluid MSBR had a safety flaw in the ORNL one fluid design that if not corrected , could cause loss of control in the ORNL designed one fluid MSBR .",nuclear energy,CON,20349,PRO,flipped
test,Retrieved 9 November 2015 .,abortion,NEU,1312,CON,polarized
train,Theres also the fact that a unwanted child being born into a family that can not support it or with a mother that never wanted it can ruin the life of the child .,abortion,PRO,3202,NEU,neutralized
train,The only thing the government ’s proposed regulations will ensure is that the criminal will be better armed than the law-abiding citizen — surely a crime against the people if there ever was one .,gun control,CON,13933,PRO,flipped
dev,"In a two-liquid arrangement ( core and surrounding Thorium blanket as neutron reflector ) , a graphite or Hastelloy-N separating barrier could fail , e.g. due to thermal stress , corrosion and/or neutron embrittlement , such that cleaning up a LFTR after missing of core and blanket would be one unholy mess and extremely hazardous due to the high Gamma flux .",nuclear energy,CON,18991,PRO,flipped
test,"Firearms were the 12th leading cause of deaths for all deaths between 1999 and 2013 , responsible for 1.3 % of deaths with 464,033 deaths .",gun control,PRO,13376,PRO,correct
train,Fatalities doubled in marijuana-related car crashes after legalization in Washington state .,marijuana legalization,CON,16152,NEU,neutralized
test,Natural reproduction can itself produce dangerous results .,cloning,NEU,3978,CON,polarized
train,"It prevents competition and teasing : When children wear their own clothes into school , this then becomes a time for them to judge each other .",school uniforms,PRO,24609,CON,flipped
train,Read the first post here .,abortion,NEU,3282,NEU,correct
train,"Some proposals also stipulate a willingness to participate in the labor market , or a willingness to perform community services .",minimum wage,NEU,18299,PRO,polarized
dev,"The next time somebody draws comparisons between the regulations on guns and cars , simply suggest that , since both have the potential to be dangerous , the regulations on cars should be translated to analogous restrictions on guns .",gun control,PRO,11447,NEU,neutralized
train,But I think people should get more .,school uniforms,NEU,23126,CON,polarized
train,"Kagan put forth a hypothetical law that would require all abortions in Texas to take place in hospitals identical to one of the leading facilities in the country , Massachusetts General .",abortion,NEU,1024,CON,polarized
train,The wearing of uniforms does not prevent the formation of cliques or gangs .,school uniforms,CON,23735,CON,correct
test,But not once did we ever argue about clothing .,school uniforms,NEU,23761,CON,polarized
train,Let me ask all you pot haters ..... If you get cancer or know someone you love that does would you not be prepared to try to save them or yourself with cannabis oil ???,marijuana legalization,PRO,14222,NEU,neutralized
train,Another argument I 'd like to address is the one about Australia and their choice to ban guns for the most part due to a massacre .,gun control,NEU,13025,NEU,correct
test,This exact scenario unfolded over & over again throughout history .,gun control,NEU,11880,PRO,polarized
train,"“ What we know is the THC , the psychoactive component of marijuana , back in the 60 ’s and 70 ’s was less than 1 % .",marijuana legalization,PRO,16270,PRO,correct
train,"And most people who actually pay that large amount of money to clone an animal , most of them are show animals , so you would n't see an ounce of that meat .",cloning,CON,6959,CON,correct
train,Income inequality and fair wealth distribution are two factors of the economy that are kept in check with minimum wages .,minimum wage,PRO,17953,PRO,correct
train,Carrying a concealed handgun could help stop a public shooting spree .,gun control,CON,11026,NEU,neutralized
dev,We are known throughout the civilized world as having the least control over who owns guns and having also one of the highest rates of death by guns so obviously we are doing something wrong .,gun control,PRO,10926,NEU,neutralized
train,The mortality rate of a colonoscopy is more than 40 times greater than that of an abortion .,death penalty,NEU,7793,CON,polarized
train,"Given the lack of arguments in favor of uniforms , schools typically like to avoid discussing the matter principly .",school uniforms,CON,23646,NEU,neutralized
test,The radiation bombarding us goes up 10 percent when we sleep next to another human .,nuclear energy,CON,21092,NEU,neutralized
train,"Regretfully , it had not been possible to achieve a consensus that would facilitate a universal norm , he said .",cloning,NEU,6810,NEU,correct
train,</li> </ul> - many women face mental challenges of depression and regret .,abortion,CON,2401,NEU,neutralized
train,"The United Nations General Assembly affirmed in a formal resolution that throughout the world , it is desirable to "" progressively restrict the number of offenses for which the death penalty might be imposed , with a view to the desirability of abolishing this punishment .",death penalty,CON,7616,CON,correct
train,"From a consumer ’s point of view , the average cost of a loaf of bread in 1968 was 22 cents , accounting for 14 percent of an hour ’s pay at the $ 1.60 minimum wage .",minimum wage,NEU,18008,NEU,correct
train,"Orrenius said that , because the federal minimum wage has n’t been changed since 2009 , it has n’t kept pace with inflation .",minimum wage,PRO,16484,PRO,correct
train,"Furthermore , increasing the minimum wage has not proven to be effective at lowering the poverty rate , according to the business-backed nonprofit Employment Policies Institute .",minimum wage,CON,17816,PRO,flipped
dev,Just wearing the uniform together with its logo can provide you the best chance to feel proud of your school .,school uniforms,PRO,24660,CON,flipped
dev,Felons report that they often carry firearms to deter victims from resisting .,gun control,PRO,11890,PRO,correct
train,"The procedural similarities between the D & E and D & X procedures have contributed to the concern that the language of partial-birth abortion bans may prohibit both methods of abortion . """,abortion,NEU,99,NEU,correct
test,"In the aftermath of the Sandy Hook shooting , many politicians have begun to pivot towards the idea that gun control needs to be strengthened — this effort is being led by Democrats , but even many Republicans have begun to buck their longstanding deference to the NRA and gun lobbyists .",gun control,PRO,11121,CON,flipped
train,""" It does n’t reduce incentive for employer to hire , and it helps employees earn more . """,minimum wage,PRO,17457,PRO,correct
train,"Comparisons with identical twins likewise obscure the most important relationship between the person being cloned and the cloned child : the child may be genetically an identical twin , but is generationally a child , a son or a daughter .",cloning,NEU,4346,CON,polarized
train,"If the clone realized they were created to replace somebody who has passed away , the clone would feel an insane amount of pressure knowing this .",cloning,CON,4752,NEU,neutralized
test,"Season 2 , which features storylines from Trunk Music , The Drop and The Last Coyote premieres March 11th on Amazon Prime Video .",minimum wage,NEU,18405,CON,polarized
test,One is the release of some highly publicized studies that show a number of innocents had been put to death .,death penalty,CON,7965,PRO,flipped
train,"Barbara Anderson Young , the sister of James Anderson , who was allegedly run over by a white teenager in Mississippi in 2011 , who reportedly wanted to hurt him because he was Black , wrote a letter to the local prosecutor on behalf of their family indicating the family ’s opposition to the death penalty , which is “ deeply rooted in our religious faith , a faith that was central in James ’ life as well . ”",death penalty,CON,9150,NEU,neutralized
train,"This means there would be a lower turnover rate , which results in fewer expenses to hire and train new employees .",minimum wage,PRO,18752,PRO,correct
train,"Of these , many are unsalvageable pregnancies , in which the fetus will almost inevitably die close to birth or shortly after .",abortion,PRO,746,NEU,neutralized
train,"February 5 , 2006 : "" In recent years , several electric utilities have emerged as nuclear-power specialists , reaping economies of scale and building expertise that enables them to run safer , more secure operations .",nuclear energy,PRO,19373,PRO,correct
train,"These rituals benefit the people carrying out the execution , giving them some detachment from what has to be a daunting and emotionally wrenching task .",death penalty,PRO,8381,CON,flipped
train,"Modern designs are modular , smaller and quicker to build ( less interest costs ) , thus further improving economics .",nuclear energy,PRO,20503,CON,flipped
train,"It is not a question of morality , it is a question of standing by a person ’s inherent right to choose , their right to life and safety , and even to their right to choose a humane death for a loved one .",abortion,PRO,892,PRO,correct
train,"It can enforce a positive attitude : In a work place we dress smartly even though there 's normally no uniform in office jobs , and even the self employed are advised to dress as though they were going into an office .",school uniforms,PRO,22633,PRO,correct
train,"So let ’s turn to an undisputed conservative – one who opposes abortion , same-sex marriage , affirmative action and so many other liberal agenda items .",gun control,NEU,11857,CON,polarized
train,Debate attendee Marc Hyden agrees .,death penalty,NEU,10345,PRO,polarized
train,Reduced Expense for Social Programs : Employees surviving at minimum wage are also often the same people who must rely on additional support of government run social programs to support themselves and their families on such a small amount of income .,minimum wage,PRO,17844,PRO,correct
train,Why preach to the choir ?,abortion,NEU,3074,PRO,polarized
train,"The New Testament does n't support the death penalty . """,death penalty,CON,9991,NEU,neutralized
train,"Here it is , in its entirety .",gun control,NEU,11356,NEU,correct
train,"LARRY WOLK : Smoking , whether it 's marijuana , whether it 's tobacco , whether it 's anything , generally you have to worry about not just the substance itself , but you have to worry about what else is in that smoke , and also what smoking does to deprive the body of oxygen .",marijuana legalization,CON,14973,NEU,neutralized
train,This has created a new black market and decreased property values .,marijuana legalization,CON,14802,PRO,flipped
train,"Rabbi Abraham Joshua Heschel famously said that in a democracy , not all are at fault , but everyone is responsible .",death penalty,NEU,7671,PRO,polarized
